Gene Name	Accession-1	Product	Accession-2	Pathways of gene	Ontology - pathway type
galE	PMM1209	UDP-glucose 4-epimerase GalE	TX50_RS06520	D-galactose degradation I (Leloir pathway) // UDP-&alpha;-D-galactose biosynthesis	Carbohydrate Degradation // Carbohydrate Biosynthesis
gatB	PMM0048	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	TX50_RS00255	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent)	Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis
PMM1440	PMM1440	30S ribosomal protein PSRP-3	TX50_RS07755		
hemF	PMM1582	oxygen-dependent coproporphyrinogen oxidase	TX50_RS08470	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent) // heme <i>b</i> biosynthesis I (aerobic)	Tetrapyrrole Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis
PMM0323	PMM0323	HD domain-containing protein	TX50_RS01680		
PMM0423	PMM0423	DUF393 domain-containing protein	TX50_RS02280		
arsJ	PMM0712	organoarsenical effux MFS transporter ArsJ	TX50_RS03800	arsenate detoxification V	Arsenic Compound Detoxification
PMM0883	PMM0883	flavin reductase	TX50_RS04720		
pnp	PMM1191	polyribonucleotide nucleotidyltransferase	TX50_RS06425		
pdxA	PMM0028	4-hydroxythreonine-4-phosphate dehydrogenase PdxA	TX50_RS00155	pyridoxal 5'-phosphate biosynthesis I	Cofactor, Carrier, and Vitamin Biosynthesis
PMM1412	PMM1412	cupin domain-containing protein	TX50_RS07610		
PMM1563	PMM1563	DUF2839 domain-containing protein	TX50_RS08370		
cpeB	PMM0305	&beta;-phycoerythrin monomer	TX50_RS01580		
cysK2	PMM0407	Cysteine synthase	TX50_RS02190	L-cysteine biosynthesis I	Amino Acid Biosynthesis
aroB	PMM0682	3-dehydroquinate synthase	TX50_RS03625	superpathway of aromatic amino acid biosynthesis // superpathway of L-tyrosine biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tryptophan biosynthesis // chorismate biosynthesis I // 3-dehydroquinate biosynthesis I	Superpathways // Amino Acid Biosynthesis // Aromatic Compound Biosynthesis
PMM0865	PMM0865	cofactor assembly of complex C subunit B	TX50_RS04630		
fldA	PMM1171	flavodoxin FldA	TX50_RS06325		
PMM0011	PMM0011	serine/threonine-protein phosphatase	TX50_RS00070		
hli12	PMM1384	high light inducible protein Hli12	TX50_RS07445		
rplE	PMM1546	50S ribosomal protein L5	TX50_RS08280		
chlD	PMM0288	Protoporphyrin IX Mg-chelatase subunit ChlD	TX50_RS01495	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent)	Tetrapyrrole Biosynthesis
mfd	PMM0839	transcription-repair coupling factor	TX50_RS04490		
PMM0666	PMM0666	ABC-type transporter, ATP-binding protein component	TX50_RS03545		
PMM1526	PMM1526	TIGR01548 family HAD-type hydrolase	TX50_RS08180		
PMM1152	PMM1152	NAD(P)H-binding protein	TX50_RS06210		
PMM0819	PMM0819	DUF1651 domain-containing protein	TX50_RS04385		
PMM1364	PMM1364	UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	TX50_RS07320	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing) // UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis I (<i>meso</i>-diaminopimelate containing)	Superpathways // Cell Structure Biosynthesis
PMM1293	PMM1293	FKBP-type peptidyl-prolyl cis-trans isomerase	TX50_RS06935		
psbK	PMM0272	photosystem II reaction center protein K	TX50_RS01410	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
rpsJ	PMM1507	30S ribosomal protein S10	TX50_RS08085		
PMM0645	PMM0645	FAD-binding protein	TX50_RS03420		
PMM0795	PMM0795	DUF3685 domain-containing protein	TX50_RS04240		
PMM1133	PMM1133	cupin domain-containing protein	TX50_RS06095		
PMM1272	PMM1272	DUF3611 family protein	TX50_RS06835		
kaiB	PMM1343	circadian clock protein KaiB	TX50_RS07205		
rimP	PMM1491	ribosome maturation factor RimP	TX50_RS08005		
PMM0254	PMM0254	DUF3769 domain-containing protein	TX50_RS01315		
cobI	PMM0389	Precorrin-2 methylase	TX50_RS02095	cob(II)yrinate <i>a,c</i>-diamide biosynthesis II (late cobalt incorporation)	Cofactor, Carrier, and Vitamin Biosynthesis
hisS	PMM0623	histidine--tRNA ligase	TX50_RS03310	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
PMM0776	PMM0776	uracil phosphoribosyltransferase	TX50_RS04145	superpathway of pyrimidine nucleobases salvage // pyrimidine nucleobases salvage I	Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM1106	PMM1106	DUF2488 family protein	TX50_RS05930		
PMM1254	PMM1254	glycosyltransferase family 2 protein	TX50_RS06740		
PMM1326	PMM1326	DUF3086 domain-containing protein	TX50_RS07120		
rsmG	PMM1475	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	TX50_RS07925		
crtR	PMM1806	beta-carotene hydroxylase	TX50_RS01215	zeaxanthin biosynthesis	Secondary Metabolite Biosynthesis
PMM0365	PMM0365	DsrE family protein	TX50_RS01940		
lepB	PMM0606	signal peptidase I	TX50_RS03225		
sir	PMM0758	ferredoxin-sulfite reductase	TX50_RS04055	assimilatory sulfate reduction IV	Inorganic Nutrient Metabolism
PMM1087	PMM1087	iron-containing alcohol dehydrogenase	TX50_RS05835		
PMM1227	PMM1227	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	TX50_RS06610		
miaB	PMM1305	tRNA (N6-isopentenyl adenosine(37)-C2)-methylthiotransferase MiaB	TX50_RS07005		
atp1	PMM1457	ATP synthase subunit I	TX50_RS07835	ATP biosynthesis	Generation of Precursor Metabolites and Energy
mutS	PMM0217	endonuclease MutS2	TX50_RS01120		
PMM0341	PMM0341	Nif11-like leader peptide family natural product precursor	TX50_RS01805		
PMM0588	PMM0588	DUF2518 family protein	TX50_RS03135		
PMM0741	PMM0741	photosystem II biogenesis protein Psp29	TX50_RS03975		
PMM1065	PMM1065	DUF1957 domain-containing protein	TX50_RS05720		
gmd	PMM1208	GDP-mannose 4,6-dehydratase	TX50_RS06515	GDP-L-fucose biosynthesis I (from GDP-D-mannose)	Carbohydrate Biosynthesis
pyrD	PMM0199	Dihydroorotate dehydrogenase	TX50_RS01030	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // UMP biosynthesis I	Superpathways // Nucleoside and Nucleotide Biosynthesis
atpC	PMM1439	ATP synthase epsilon subunit	TX50_RS07750	ATP biosynthesis	Generation of Precursor Metabolites and Energy
rpmJ	PMM1538	50S ribosomal protein L36	TX50_RS09335		
minC	PMM0322	septum site-determining protein MinC	TX50_RS01675		
pyrC	PMM0569	dihydroorotase	TX50_RS03035	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // UMP biosynthesis I	Superpathways // Nucleoside and Nucleotide Biosynthesis
chrA	PMM0711	chromate efflux transporter	TX50_RS03795		
PMM1048	PMM1048	ABC-type oligopeptide transporter, permease component	TX50_RS05635		
rpsN	PMM1190	30S ribosomal protein S14	TX50_RS06420		
ybeY	PMM0182	rRNA maturation RNase YbeY	TX50_RS00945		
PMM1409	PMM1409	DUF3303 domain-containing protein	TX50_RS07580		
spsA	PMM1711	sucrose-phosphate synthase	TX50_RS09135	sucrose biosynthesis I (from photosynthesis)	Superpathways // Carbohydrate Biosynthesis
PMM0304	PMM0304	AAA family ATPase	TX50_RS01570		
csoS2	PMM0552	carboxysome shell protein CsoS2	TX50_RS02950		
PMM0681	PMM0681	SAM-dependent methyltransferase	TX50_RS03620		
PMM1020	PMM1020	Nif11 family protein	TX50_RS05470		
PMM1170	PMM1170	DUF3386 domain-containing protein	TX50_RS06320		
cysC	PMM0166	adenylyl-sulfate kinase	TX50_RS00865	assimilatory sulfate reduction IV	Inorganic Nutrient Metabolism
PMM1383	PMM1383	DUF938 domain-containing protein	TX50_RS07440		
pabC	PMM1693	4-amino-4-deoxychorismate lyase	TX50_RS09040	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // 4-aminobenzoate biosynthesis I // 4-aminobenzoate biosynthesis II	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis // Aromatic Compound Biosynthesis
folK	PMM0287	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase	TX50_RS01490	superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	Superpathways // Cofactor, Carrier, and Vitamin Biosynthesis
aarA	PMM0533	long-chain acyl-[acyl-carrier-protein] reductase	TX50_RS02855	heptadecane biosynthesis // alkane biosynthesis I	Carbohydrate Biosynthesis
PMM0665	PMM0665	Hsp33 family molecular chaperone HslO	TX50_RS03540		
rpsU	PMM0987	30S ribosomal protein S21	TX50_RS05265		
infA	PMM1151	translation initiation factor IF-1	TX50_RS06200		
ndhF	PMM0149	ferredoxin-quinone oxidoreductase subunit F	TX50_RS00780	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
PMM1361	PMM1361	SDR family NAD(P)-dependent oxidoreductase	TX50_RS07300		
mnmG	PMM1675	tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG	TX50_RS08945	tRNA-uridine 2-thiolation and selenation (bacteria)	Nucleic Acid Processing
tgt	PMM0271	tRNA guanosine(34) transglycosylase Tgt	TX50_RS01405	queuosine biosynthesis I (<i>de novo</i>)	Nucleic Acid Processing
serB	PMM0515	phosphoserine phosphatase	TX50_RS02765	superpathway of L-serine and glycine biosynthesis I // L-serine biosynthesis I	Superpathways // Amino Acid Biosynthesis
sulP2	PMM0644	sulfate permease	TX50_RS03415		
ureE	PMM0967	urease accessory protein UreE	TX50_RS05145		
hli15	PMM1128	high light inducible protein Hli15	TX50_RS06055		
PMM0130	PMM0130	dTMP kinase	TX50_RS00685	pyrimidine deoxyribonucleotide phosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters
kaiC	PMM1342	circadian clock protein KaiC	TX50_RS07200		
clpP2	PMM1656	ClpP2 serine protease	TX50_RS08850		
psbI	PMM0253	Photosystem II protein PsbI	TX50_RS01310	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
rpoD	PMM0496	RNA polymerase sigma factor RpoD	TX50_RS02670		
dnaQ	PMM0621	DNA polymerase III, epsilon subunit	TX50_RS03300		
rlmB		23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB			
PMM1104	PMM1104	isoprenylcysteine carboxylmethyltransferase family protein	TX50_RS05920		
PMM0105	PMM0105	RibD/RibG domain-containing protein	TX50_RS00560		
PMM1325	PMM1325	DUF3119 family protein	TX50_RS07115		
PMM1640	PMM1640	GNAT family N-acetyltransferase	TX50_RS08765		
gatC	PMM0235	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatC	TX50_RS01210	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent)	Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis
PMM0476	PMM0476	PepSY domain-containing protein	TX50_RS02565		
PMM0605	PMM0605	DUF760 domain-containing protein	TX50_RS03220		
acoB	PMM0930	Pyruvate dehydrogenase E1 component beta subunit	TX50_RS04960	pyruvate decarboxylation to acetyl CoA I	Carboxylate Degradation // Generation of Precursor Metabolites and Energy
PMM1085	PMM1085	phosphatidate cytidylyltransferase	TX50_RS05825	CDP-diacylglycerol biosynthesis I // CDP-diacylglycerol biosynthesis III	Fatty Acid and Lipid Biosynthesis
trkG	PMM0084	potassium:proton symporter	TX50_RS00445		
PMM1304	PMM1304	amidohydrolase family protein	TX50_RS06995		
ssb	PMM1623	single-stranded DNA-binding protein	TX50_RS08680		
PMM0216	PMM0216	VOC family protein	TX50_RS01115		
ppx	PMM0457	exopolyphosphatase	TX50_RS02460	polyphosphate metabolism	Inorganic Nutrient Metabolism
PMM0587	PMM0587	DUF4332 domain-containing protein	TX50_RS03130		
PMM0913	PMM0913	FtsX-like permease family protein	TX50_RS04875		
lcyB	PMM1064	lycopene &beta; cyclase	TX50_RS05715	flexixanthin biosynthesis // &alpha;-carotene biosynthesis // &beta;-carotene biosynthesis	Secondary Metabolite Biosynthesis
PMM0067	PMM0067	histidine triad nucleotide-binding protein	TX50_RS00355		
PMM0198	PMM0198	aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme	TX50_RS01025		
rnc	PMM1603	ribonuclease III	TX50_RS08580		
PMM0950	PMM0950	STAS domain-containing protein	TX50_RS09300		
PMM0438	PMM0438	DUF2232 domain-containing protein	TX50_RS02360		
ECM27	PMM0568	Ca2+/Na+ symporter	TX50_RS03030		
dnaK	PMM0897	molecular chaperone DnaK	TX50_RS04790		
TX50_RS05620		DUF2834 domain-containing protein			
ndk	PMM0046	nucleoside-diphosphate kinase	TX50_RS00245	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // superpathway of pyrimidine nucleobases salvage // UTP and CTP <i>de novo</i> biosynthesis // CMP phosphorylation // superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I // adenosine deoxyribonucleotides <i>de novo</i> biosynthesis I // guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I // pyrimidine deoxyribonucleotide phosphorylation // pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III // superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // ppGpp metabolism // guanosine ribonucleotides <i>de novo</i> biosynthesis	Superpathways // Nucleoside and Nucleotide Biosynthesis // Metabolic Clusters // Metabolic Regulator Biosynthesis
PMM0181	PMM0181	DUF3285 domain-containing protein	TX50_RS00940		
rodA	PMM1580	rod shape-determining protein RodA	TX50_RS08460		
mraY	PMM1709	phospho-N-acetylmuramoyl-pentapeptide- transferase	TX50_RS09125	peptidoglycan biosynthesis I (<I>meso</I>-diaminopimelate containing)	Superpathways // Cell Structure Biosynthesis
PMM0421	PMM0421	ABC-type oligopeptide transporter, permease component	TX50_RS02265		
rbcS	PMM0551	Ribulose bisphosphate carboxylase small subunit	TX50_RS02945	oxygenic photosynthesis // Calvin-Benson-Bassham cycle // Rubisco shunt	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis
hemJ	PMM0881	protoporphyrinogen oxidase	TX50_RS04710	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent) // 3,8-divinyl-chlorophyllide <i>a</i> biosynthesis III (aerobic, light independent) // heme <i>b</i> biosynthesis I (aerobic)	Tetrapyrrole Biosynthesis // Cofactor, Carrier, and Vitamin Biosynthesis
PMM1018	PMM1018	DUF1330 domain-containing protein	TX50_RS05450		
efp	PMM0026	elongation factor P	TX50_RS00145		
PMM0165	PMM0165	translation initiation factor SUI1	TX50_RS00860		
PMM1561	PMM1561	HAD family hydrolase	TX50_RS08360		
trpE	PMM1692	Anthranilate/para-aminobenzoate synthase component I	TX50_RS09035	L-glutamine degradation I // glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation // L-asparagine biosynthesis III (tRNA-dependent) // superpathway of aromatic amino acid biosynthesis // superpathway of L-tryptophan biosynthesis // L-tryptophan biosynthesis	Amino Acid Degradation // Aminoacyl-tRNA Charging // Amino Acid Biosynthesis // Superpathways
aceF	PMM0405	Dihydrolipoamide S-acetyltransferase	TX50_RS02180	pyruvate decarboxylation to acetyl CoA I	Carboxylate Degradation // Generation of Precursor Metabolites and Energy
adoA	PMM0532	aldehyde-deformylating oxygenase	TX50_RS02850	alkane biosynthesis I // heptadecane biosynthesis	Carbohydrate Biosynthesis
PMM0862	PMM0862	tRNA (cytidine(34)-2'-O)-methyltransferase	TX50_RS04615		
PMM0986	PMM0986	nucleoside 2-deoxyribosyltransferase	TX50_RS05260		
nusB	PMM0009	transcription antitermination protein NusB	TX50_RS00060		
rbcR	PMM0147	putative RubisCO transcriptional regulator	TX50_RS00770		
rplF	PMM1544	50S ribosomal protein L6	TX50_RS08270		
dnaB	PMM1674	replicative DNA helicase	TX50_RS08940		
rplO	PMM1541	50S ribosomal protein L15	TX50_RS08255		
PMM0514	PMM0514	dihydroorotase	TX50_RS02760	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // UMP biosynthesis I	Superpathways // Nucleoside and Nucleotide Biosynthesis
TX50_RS04475		DUF3038 domain-containing protein			
ureD	PMM0966	urease accessory protein UreD	TX50_RS05140		
psaA	PMM1524	Photosystem I P700 chlorophyll A apoprotein A1 PsaA	TX50_RS08170	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow	Superpathways // Generation of Precursor Metabolites and Energy
PMM0129	PMM0129	AAA family ATPase	TX50_RS00680		
hli17	PMM0817	high light inducible protein Hli17	TX50_RS04375		
tig	PMM1655	trigger factor	TX50_RS08845		
mnmA	PMM1291	tRNA 2-thiouridine(34) synthase MnmA	TX50_RS06925	tRNA-uridine 2-thiolation and selenation (bacteria)	Nucleic Acid Processing
hemC	PMM0495	hydroxymethylbilane synthase	TX50_RS02665	tetrapyrrole biosynthesis I (from glutamate)	Tetrapyrrole Biosynthesis
ubiE	PMM1505	2-methyl-6-phytyl-1,4-hydroquinone methyltransferase	TX50_RS08075	plastoquinol-9 biosynthesis II	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0947	PMM0947	DUF1816 domain-containing protein	TX50_RS05045		
ruvX	PMM0791	Holliday junction resolvase RuvX	TX50_RS04220		
PMM0103	PMM0103	DUF4346 domain-containing protein	TX50_RS00550		
pheS	PMM1270	Phenylalanyl-tRNA synthetase alpha subunit	TX50_RS06825	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
secA	PMM1639	preprotein translocase subunit SecA	TX50_RS08760		
rpiA	PMM1489	ribose-5-phosphate isomerase RpiA	TX50_RS07995	pentose phosphate pathway // oxygenic photosynthesis // pentose phosphate pathway (non-oxidative branch) I // Calvin-Benson-Bassham cycle // Rubisco shunt	Superpathways // Generation of Precursor Metabolites and Energy // C1 Compound Utilization and Assimilation // Carbohydrate Biosynthesis
rplS	PMM0475	50S ribosomal protein L19	TX50_RS02560		
aroQ	PMM0387	type II 3-dehydroquinate dehydratase	TX50_RS02085	superpathway of aromatic amino acid biosynthesis // superpathway of L-tyrosine biosynthesis // superpathway of L-phenylalanine biosynthesis // superpathway of L-tryptophan biosynthesis // chorismate biosynthesis I // chorismate biosynthesis from 3-dehydroquinate	Superpathways // Amino Acid Biosynthesis // Aromatic Compound Biosynthesis
secD	PMM0929	protein translocase subunit SecD	TX50_RS04955		
PMM0772	PMM0772	CIA30 family protein	TX50_RS04125		
PMM0083	PMM0083	putative sodium/sulfate transporter, DASS family	TX50_RS00440		
PMM1251	PMM1251	carbamoyltransferase	TX50_RS06725		
mreB	PMM1622	rod shape-determining protein	TX50_RS08675		
PMM1473	PMM1473	DUF3143 domain-containing protein	TX50_RS07915		
ubiA	PMM0456	4-hydroxybenzoate polyprenyltransferase	TX50_RS02455	plastoquinol-9 biosynthesis II	Cofactor, Carrier, and Vitamin Biosynthesis
PMM0363	PMM0363	MarR family transcriptional regulator	TX50_RS01925		
pyk	PMM0912	pyruvate kinase	TX50_RS04870	Rubisco shunt // Entner-Doudoroff pathway I	Generation of Precursor Metabolites and Energy // Superpathways // Carbohydrate Degradation
recG	PMM0756	ATP-dependent DNA helicase RecG	TX50_RS04045		
PMM0065	PMM0065	ABC-type transporter, ATP-binding protein/permease domains	TX50_RS00345		
gumB	PMM1224	polysaccharide export protein	TX50_RS06595		
glgP	PMM1601	glycogen/starch/alpha-glucan phosphorylase	TX50_RS08565	glycogen degradation II	Carbohydrate Degradation // Polymeric Compound Degradation // Glycan Pathways
atpE	PMM1455	ATP synthase subunit c	TX50_RS07825	ATP biosynthesis	Generation of Precursor Metabolites and Energy
topA	PMM0436	type I DNA topoisomerase	TX50_RS02350		
PMM0338	PMM0338	TIGR03894 family protein	TX50_RS01785		
dnaJ2	PMM0896	DnaJ domain-containing protein	TX50_RS04785		
PMM0733	PMM0733	DUF2130 domain-containing protein	TX50_RS03915		
speA	PMM0045	biosynthetic arginine decarboxylase	TX50_RS00240	putrescine biosynthesis I // arginine dependent acid resistance // L-arginine degradation III (arginine decarboxylase/agmatinase pathway)	Amine and Polyamine Biosynthesis // Acid Resistance // Amino Acid Degradation
PMM1206	PMM1206	DUF2029 domain-containing protein	TX50_RS06505		
hik05	PMM1579	two-component sensor histidine kinase 5	TX50_RS08455		
PMM1437	PMM1437	co-chaperone GroES	TX50_RS07740		
lepA	PMM0420	Membrane GTPase LepA	TX50_RS02260		
minE	PMM0320	cell division topological specificity factor MinE	TX50_RS01665		
PMM0880	PMM0880	PHP domain-containing protein	TX50_RS04705		
oprB	PMM0709	outer membrane phosphate transport porin	TX50_RS03785		
PMM0025	PMM0025	peptidyl-prolyl cis-trans isomerase	TX50_RS00140		
serS	PMM1188	serine--tRNA ligase	TX50_RS06410	tRNA charging	Aminoacyl-tRNA Charging // Metabolic Clusters
ndhN	PMM1559	ferredoxin-quinone oxidoreductase subunit N	TX50_RS08345	cyclic electron flow // NADPH to cytochrome <i>c</i> oxidase via plastocyanin	Generation of Precursor Metabolites and Energy
PMM1403	PMM1403	HNH endonuclease	TX50_RS07550		
PMM0402	PMM0402	long-chain-fatty-acid--[acyl-carrier protein] ligase	TX50_RS02160	heptadecane biosynthesis // alkane biosynthesis I	Carbohydrate Biosynthesis
selD	PMM0302	selenide, water dikinase SelD	TX50_RS01560		
PMM0860	PMM0860	DUF1651 domain-containing protein	TX50_RS04600		
PMM0679	PMM0679	TIGR04168 family protein	TX50_RS03610		
PMM0008	PMM0008	DUF502 domain-containing protein	TX50_RS00055		
PMM1166	PMM1166	DUF1824 family protein	TX50_RS06300		
rplR	PMM1543	50S ribosomal protein L18	TX50_RS08265		
PMM1381	PMM1381	SOS response-associated peptidase	TX50_RS07425		
secY	PMM1540	preprotein translocase subunit SecY	TX50_RS08250		
phrB	PMM0285	deoxyribodipyrimidine photo-lyase	TX50_RS01480		
PMM0835	PMM0835	DUF2949 domain-containing protein	TX50_RS04470		
PMM0662	PMM0662	methyltransferase domain-containing protein	TX50_RS03525		
psaB	PMM1523	Photosystem I P700 chlorophyll A apoprotein A2 PsaB	TX50_RS08165	oxygenic photosynthesis // photosynthesis light reactions // cyclic electron flow	Superpathways // Generation of Precursor Metabolites and Energy
PMM1147	PMM1147	Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	TX50_RS06180		
hli18	PMM0816	high light inducible protein Hli18	TX50_RS04370		
PMM1359	PMM1359	DoxX family protein	TX50_RS07290		
PMM1290	PMM1290	bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase	TX50_RS06920	NADPH repair (prokaryotes) // NADH repair	Generation of Precursor Metabolites and Energy
hik01	PMM0269	two-component sensor histidine kinase 1	TX50_RS01395		
pheA	PMM1504	prephenate dehydratase	TX50_RS08070	superpathway of L-phenylalanine biosynthesis // superpathway of aromatic amino acid biosynthesis // L-phenylalanine biosynthesis I	Superpathways // Amino Acid Biosynthesis
PMM0642	PMM0642	O-acetylhomoserine aminocarboxypropyltransferase/cysteine synthase	TX50_RS03405	L-methionine biosynthesis III // L-homocysteine biosynthesis // L-cysteine biosynthesis I	Superpathways // Amino Acid Biosynthesis
PMM0790	PMM0790	DUF3727 domain-containing protein	TX50_RS04215		
apt	PMM1122	adenine phosphoribosyltransferase	TX50_RS06015		
nadK2	PMM1269	NAD kinase 2	TX50_RS06820	NAD phosphorylation and transhydrogenation // NADP biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis
purD	PMM1340	phosphoribosylamine--glycine ligase	TX50_RS07190	superpathway of 5-aminoimidazole ribonucleotide biosynthesis // 5-aminoimidazole ribonucleotide biosynthesis I // 5-aminoimidazole ribonucleotide biosynthesis II	Superpathways // Nucleoside and Nucleotide Biosynthesis
hisD	PMM1488	histidinol dehydrogenase	TX50_RS07990	L-histidine biosynthesis	Amino Acid Biosynthesis
psbH	PMM0251	Photosystem II 10 kDa phosphoprotein PsbH	TX50_RS01300	oxygenic photosynthesis // photosynthesis light reactions // protective electron sinks in the thylakoid membrane	Superpathways // Generation of Precursor Metabolites and Energy
PMM0384	PMM0384	GIY-YIG nuclease family protein	TX50_RS02050		
acs	PMM0619	acetate--CoA ligase	TX50_RS03290	acetate conversion to acetyl-CoA // acetate and ATP formation from acetyl-CoA III	Carboxylate Degradation // Generation of Precursor Metabolites and Energy
pgl	PMM0771	6-phosphogluconolactonase	TX50_RS04120	pentose phosphate pathway // pentose phosphate pathway (oxidative branch) I // Entner-Doudoroff pathway I	Superpathways // Generation of Precursor Metabolites and Energy // Carbohydrate Degradation
PMM1102	PMM1102	AAA family ATPase	TX50_RS05910		
PMM1248	PMM1248	SGNH/GDSL hydrolase family protein	TX50_RS06710		
PMM1322	PMM1322	glycogen-debranching protein	TX50_RS07095		
bioA	PMM1472	adenosylmethionine--8-amino-7-oxononanoate transaminase	TX50_RS07910	biotin biosynthesis from 8-amino-7-oxononanoate I	Cofactor, Carrier, and Vitamin Biosynthesis
pyrB	PMM0233	aspartate carbamoyltransferase	TX50_RS01200	superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis // UMP biosynthesis I	Superpathways // Nucleoside and Nucleotide Biosynthesis
PMM0360	PMM0360	cupin domain-containing protein	TX50_RS01910		
PMM0603	PMM0603	ABC-type metal transporter, permease component	TX50_RS03210		
PMM0755	PMM0755	adenylate cyclase	TX50_RS04040		
PMM1083	PMM1083	AarF/ABC1/UbiB kinase family protein	TX50_RS05815		
PMM1223	PMM1223	glycosyltransferase family 4 protein	TX50_RS06590		
folC	PMM1302	bifunctional folylpolyglutamate synthase/dihydrofolate synthase	TX50_RS06985	tetrahydrofolate biosynthesis II // folate polyglutamylation // superpathway of tetrahydrofolate biosynthesis and salvage // superpathway of tetrahydrofolate biosynthesis // tetrahydrofolate biosynthesis I	Cofactor, Carrier, and Vitamin Biosynthesis // Superpathways
atpF2	PMM1454	ATP synthase chain b'	TX50_RS07820	ATP biosynthesis	Generation of Precursor Metabolites and Energy
sulP1	PMM0214	sulfate permease	TX50_RS01105		
ptoX	PMM0336	plastoquinol terminal oxidase	TX50_RS01770	protective electron sinks in the thylakoid membrane	Generation of Precursor Metabolites and Energy
glgB	PMM0584	1,4-alpha-glucan branching protein GlgB	TX50_RS03115	glycogen biosynthesis I (from ADP-D-Glucose)	Glycan Pathways // Carbohydrate Biosynthesis
PMM0730	PMM0730	ligase-associated DNA damage response exonuclease	TX50_RS03900		
guaB	PMM1062	IMP dehydrogenase	TX50_RS05705	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis I // guanosine ribonucleotides <i>de novo</i> biosynthesis // inosine 5'-phosphate degradation	Superpathways // Nucleoside and Nucleotide Biosynthesis // Nucleoside and Nucleotide Degradation
PMM1205	PMM1205	NarL family transcriptional regulator	TX50_RS06500		
