Entry	Entry name	Status	Protein names	Gene names	Cross-reference (KEGG)	Organism	Length	Pathway	Gene names  (ordered locus )	Gene names  (primary )	Gene names  (synonym )	Annotation	Caution	Features	Gene ontology IDs	Gene ontology (biological process)	Gene ontology (cellular component)	Gene ontology (molecular function)	Signal peptide	Transit peptide	Cross-reference (Bgee)	Cross-reference (CollecTF)	Cross-reference (BioCyc)	Cross-reference (RefSeq)
Q7V019	Q7V019_PROMP	unreviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	BioA bioA PMM1472	pmm:PMM1472;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	433	PATHWAY: Cofactor biosynthesis; biotin biosynthesis; 7,8-diaminononanoate from 8-amino-7-oxononanoate (SAM route): step 1/1. {ECO:0000256|HAMAP-Rule:MF_00834}.	PMM1472	BioA	bioA	3 out of 5		Binding site (6); Modified residue (1); Region (2); Site (1)	GO:0004015; GO:0005737; GO:0009102; GO:0030170	biotin biosynthetic process [GO:0009102]	cytoplasm [GO:0005737]	adenosylmethionine-8-amino-7-oxononanoate transaminase activity [GO:0004015]; pyridoxal phosphate binding [GO:0030170]						WP_011133100.1;
Q7UZH3	Q7UZH3_PROMP	unreviewed	Aminotransferases class-IV	PMM1693	pmm:PMM1693;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	275		PMM1693			1 out of 5			GO:0008483			transaminase activity [GO:0008483]						WP_011133320.1;
A8WI95	A8WI95_PROMP	unreviewed	Uncharacterized protein	PMM1876	pmm:PMM1876;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	45		PMM1876			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
Q7V0M8	Q7V0M8_PROMP	unreviewed	Uncharacterized protein	PMM1228	pmm:PMM1228;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	388		PMM1228			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							WP_011132862.1;
Q7V0H3	Q7V0H3_PROMP	unreviewed	PhoH-like phosphate starvation-inducible protein	phoH,psiH PMM1284	pmm:PMM1284;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	318		PMM1284	phoH,psiH		1 out of 5		Domain (1)	GO:0005524			ATP binding [GO:0005524]						WP_011132918.1;
Q7V3R6	Q7V3R6_PROMP	unreviewed	Uncharacterized protein	PMM0002	pmm:PMM0002;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	235		PMM0002			1 out of 5												WP_011131640.1;
A8WIL7	A8WIL7_PROMP	unreviewed	Uncharacterized protein	PMM2000	pmm:PMM2000;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	44		PMM2000			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
Q7V0S2	Q7V0S2_PROMP	unreviewed	Uncharacterized protein	PMM1182	pmm:PMM1182;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	191		PMM1182			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
Q7V3D4	Q7V3D4_PROMP	unreviewed	RNA-binding region RNP-1 (RNA recognition motif)	PMM0142	pmm:PMM0142;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	139		PMM0142			1 out of 5		Domain (1); Region (1)	GO:0003676			nucleic acid binding [GO:0003676]						WP_011131781.1;
Q7V3M2	Q7V3M2_PROMP	unreviewed	Putative RNA methylase family UPF0020	PMM0053	pmm:PMM0053;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	374		PMM0053			1 out of 5		Domain (1)	GO:0001510; GO:0003723; GO:0008168; GO:0034470	ncRNA processing [GO:0034470]; RNA methylation [GO:0001510]		methyltransferase activity [GO:0008168]; RNA binding [GO:0003723]						WP_011131691.1;
Q7V3Q5	Q7V3Q5_PROMP	unreviewed	Peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12)	PMM0015	pmm:PMM0015;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	164		PMM0015			1 out of 5		Domain (1)	GO:0006979; GO:0030091; GO:0033743	protein repair [GO:0030091]; response to oxidative stress [GO:0006979]		peptide-methionine (R)-S-oxide reductase activity [GO:0033743]						WP_011131653.1;
Q7V1U8	Q7V1U8_PROMP	unreviewed	D-alanyl-D-alanine dipeptidase (D-Ala-D-Ala dipeptidase) (EC 3.4.13.22)	PMM0757	pmm:PMM0757;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	228		PMM0757			2 out of 5		Active site (1); Metal binding (3); Site (1)	GO:0008237; GO:0008270; GO:0016805; GO:0071555	cell wall organization [GO:0071555]		dipeptidase activity [GO:0016805]; metallopeptidase activity [GO:0008237]; zinc ion binding [GO:0008270]						WP_011132391.1;
Q7V326	Q7V326_PROMP	unreviewed	Uncharacterized protein	PMM0268	pmm:PMM0268;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	122		PMM0268			1 out of 5												WP_011131905.1;
Q7V380	Q7V380_PROMP	unreviewed	Transcription termination/antitermination protein NusG	nusG PMM0205	pmm:PMM0205;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	203		PMM0205	nusG		2 out of 5		Domain (2)	GO:0006353; GO:0006354; GO:0031564; GO:0032784	DNA-templated transcription, elongation [GO:0006354]; DNA-templated transcription, termination [GO:0006353]; regulation of DNA-templated transcription, elongation [GO:0032784]; transcription antitermination [GO:0031564]								WP_011131844.1;
Q7V1Y3	Q7V1Y3_PROMP	unreviewed	Multidrug efflux transporter, MFS family	PMM0712	pmm:PMM0712;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	419		PMM0712			1 out of 5		Transmembrane (10)	GO:0016021; GO:0022857		integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]						WP_011132346.1;
Q7V2V9	Q7V2V9_PROMP	unreviewed	Conserved hypothetical	PMM0347	pmm:PMM0347;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	114		PMM0347			1 out of 5		Transmembrane (3)	GO:0016021		integral component of membrane [GO:0016021]							WP_011131984.1;
Q7V2J7	Q7V2J7_PROMP	unreviewed	DRTGG domain-containing protein	PMM0479	pmm:PMM0479;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	369		PMM0479			1 out of 5		Domain (1)										WP_011132114.1;
Q7V2L9	Q7V2L9_PROMP	unreviewed	4-hydroxybenzoate solanesyltransferase (EC 2.5.1.39) (4-HB polyprenyltransferase)	ubiA plqA PMM0456	pmm:PMM0456;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	295		PMM0456	ubiA	plqA	3 out of 5		Transmembrane (7)	GO:0002083; GO:0005886; GO:0008412; GO:0010236; GO:0016021; GO:0047293	plastoquinone biosynthetic process [GO:0010236]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	4-hydroxybenzoate decaprenyltransferase activity [GO:0002083]; 4-hydroxybenzoate nonaprenyltransferase activity [GO:0047293]; 4-hydroxybenzoate octaprenyltransferase activity [GO:0008412]						WP_011132092.1;
Q7UZH2	Q7UZH2_PROMP	unreviewed	Uroporphyrinogen-III C-methyltransferase (EC 2.1.1.107)	cobA PMM1694	pmm:PMM1694;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	261		PMM1694	cobA		2 out of 5		Domain (1)	GO:0004851; GO:0019354; GO:0032259	methylation [GO:0032259]; siroheme biosynthetic process [GO:0019354]		uroporphyrin-III C-methyltransferase activity [GO:0004851]						
Q7V3L4	Q7V3L4_PROMP	unreviewed	YGGT family, conserved hypothetical integral membrane protein	PMM0061	pmm:PMM0061;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	101		PMM0061			1 out of 5		Transmembrane (2)	GO:0016021		integral component of membrane [GO:0016021]							WP_011131699.1;
Q7V2Z5	Q7V2Z5_PROMP	unreviewed	Selenide,water dikinase	selD PMM0302	pmm:PMM0302;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	730		PMM0302	selD		1 out of 5		Domain (2)	GO:0005524; GO:0016301			ATP binding [GO:0005524]; kinase activity [GO:0016301]						
Q7V1G5	Q7V1G5_PROMP	unreviewed	L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	ilvA PMM0908	pmm:PMM0908;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	513	PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; 2-oxobutanoate from L-threonine: step 1/1. {ECO:0000256|ARBA:ARBA00004810, ECO:0000256|RuleBase:RU362012}.	PMM0908	ilvA		2 out of 5		Domain (2)	GO:0004794; GO:0009097; GO:0030170	isoleucine biosynthetic process [GO:0009097]		L-threonine ammonia-lyase activity [GO:0004794]; pyridoxal phosphate binding [GO:0030170]						WP_011132541.1;
Q7V2T5	Q7V2T5_PROMP	unreviewed	Uncharacterized protein	PMM0379	pmm:PMM0379;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	93		PMM0379			1 out of 5												WP_011132016.1;
A8WIG5	A8WIG5_PROMP	unreviewed	Uncharacterized protein	PMM1948	pmm:PMM1948;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	48		PMM1948			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
Q7V0U8	Q7V0U8_PROMP	unreviewed	Acetolactate synthase (EC 2.2.1.6)	ilvH PMM1154	pmm:PMM1154;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	174	PATHWAY: Amino-acid biosynthesis; L-isoleucine biosynthesis; L-isoleucine from 2-oxobutanoate: step 1/4. {ECO:0000256|ARBA:ARBA00004974}.; PATHWAY: Amino-acid biosynthesis; L-valine biosynthesis; L-valine from pyruvate: step 1/4. {ECO:0000256|ARBA:ARBA00005025}.	PMM1154	ilvH		2 out of 5		Domain (1)	GO:0003984; GO:0005737; GO:0009097; GO:0009099; GO:1990610	isoleucine biosynthetic process [GO:0009097]; valine biosynthetic process [GO:0009099]	cytoplasm [GO:0005737]	acetolactate synthase activity [GO:0003984]; acetolactate synthase regulator activity [GO:1990610]						WP_011132788.1;
A8WI51	A8WI51_PROMP	unreviewed	Uncharacterized protein	PMM1838	pmm:PMM1838;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	41		PMM1838			1 out of 5												
Q7V3H1	Q7V3H1_PROMP	unreviewed	Uncharacterized protein	PMM0104	pmm:PMM0104;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	384		PMM0104			1 out of 5												WP_011131743.1;
Q7V2E4	Q7V2E4_PROMP	unreviewed	GTP cyclohydrolase I (EC 3.5.4.16)	folE PMM0536	pmm:PMM0536;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	246	PATHWAY: Cofactor biosynthesis; 7,8-dihydroneopterin triphosphate biosynthesis; 7,8-dihydroneopterin triphosphate from GTP: step 1/1. {ECO:0000256|ARBA:ARBA00005080}.	PMM0536	folE		2 out of 5		Domain (1)	GO:0003934; GO:0006730; GO:0035998; GO:0046654	7,8-dihydroneopterin 3'-triphosphate biosynthetic process [GO:0035998]; one-carbon metabolic process [GO:0006730]; tetrahydrofolate biosynthetic process [GO:0046654]		GTP cyclohydrolase I activity [GO:0003934]						WP_011132171.1;
Q7UZN6	Q7UZN6_PROMP	unreviewed	Cell shape-determining protein MreB	mreB PMM1622	pmm:PMM1622;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	350		PMM1622	mreB		2 out of 5		Nucleotide binding (4)	GO:0000902; GO:0005524; GO:0005737; GO:0008360	cell morphogenesis [GO:0000902]; regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]	ATP binding [GO:0005524]						WP_011133249.1;
A8WIJ2	A8WIJ2_PROMP	unreviewed	Uncharacterized protein	PMM1975	pmm:PMM1975;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	55		PMM1975			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
Q7V067	Q7V067_PROMP	unreviewed	Possible UBX domain	PMM1415	pmm:PMM1415;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	326		PMM1415			1 out of 5		Chain (1); Signal peptide (1)					SIGNAL 1..25;  /evidence="ECO:0000256|SAM:SignalP"					
Q7V1X4	Q7V1X4_PROMP	unreviewed	Phosphate transport system permease protein PstA	pstA,phoT PMM0724	pmm:PMM0724;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	297		PMM0724	pstA,phoT		2 out of 5		Domain (1); Transmembrane (6)	GO:0005315; GO:0005887; GO:0035435	phosphate ion transmembrane transport [GO:0035435]	integral component of plasma membrane [GO:0005887]	inorganic phosphate transmembrane transporter activity [GO:0005315]						WP_011132358.1;
Q7V3J4	Q7V3J4_PROMP	unreviewed	Phosphoadenosine phosphosulfate reductase (EC 1.8.4.8)	cysH PMM0081	pmm:PMM0081;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	240	PATHWAY: Sulfur metabolism; hydrogen sulfide biosynthesis; sulfite from sulfate. {ECO:0000256|ARBA:ARBA00024327}.	PMM0081	cysH		1 out of 5		Coiled coil (1); Domain (1)	GO:0004604; GO:0019379	sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]		phosphoadenylyl-sulfate reductase (thioredoxin) activity [GO:0004604]						WP_011131719.1;
Q7V2N6	Q7V2N6_PROMP	unreviewed	Uncharacterized protein	PMM0437	pmm:PMM0437;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	194		PMM0437			1 out of 5												WP_011132073.1;
Q7V1C0	Q7V1C0_PROMP	unreviewed	Uncharacterized protein	PMM0959	pmm:PMM0959;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	318		PMM0959			1 out of 5												WP_011132592.1;
A8WII2	A8WII2_PROMP	unreviewed	Uncharacterized protein	PMM1965	pmm:PMM1965;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	52		PMM1965			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
Q7UZK5	Q7UZK5_PROMP	unreviewed	DNA polymerase III subunit gamma/tau (EC 2.7.7.7)	dnaX PMM1658	pmm:PMM1658;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	579		PMM1658	dnaX		2 out of 5		Compositional bias (2); Domain (1); Region (2)	GO:0003677; GO:0003887; GO:0005524; GO:0006260; GO:0009360	DNA replication [GO:0006260]	DNA polymerase III complex [GO:0009360]	ATP binding [GO:0005524]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]						WP_011133285.1;
Q7V0Q7	Q7V0Q7_PROMP	unreviewed	Uncharacterized protein	PMM1199	pmm:PMM1199;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	370		PMM1199			1 out of 5		Domain (2); Transmembrane (4)	GO:0000271; GO:0004582; GO:0016021	polysaccharide biosynthetic process [GO:0000271]	integral component of membrane [GO:0016021]	dolichyl-phosphate beta-D-mannosyltransferase activity [GO:0004582]						WP_011132833.1;
Q7TU46	Q7TU46_PROMP	unreviewed	Possible Fumarate reductase subunit D	PMM1420	pmm:PMM1420;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	86		PMM1420			1 out of 5		Transmembrane (2)	GO:0016021		integral component of membrane [GO:0016021]							WP_011133049.1;
Q7V1A8	Q7V1A8_PROMP	unreviewed	Putative urea ABC transporter	urtB PMM0971	pmm:PMM0971;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	384		PMM0971	urtB		1 out of 5		Transmembrane (8)	GO:0005886; GO:0016021; GO:0022857		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]						WP_011132604.1;
Q7UZY0	Q7UZY0_PROMP	unreviewed	Site-specific recombinase	PMM1515	pmm:PMM1515;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	228		PMM1515			1 out of 5		Coiled coil (1); Domain (1)	GO:0000150; GO:0003677			DNA binding [GO:0003677]; DNA strand exchange activity [GO:0000150]						WP_011133143.1;
Q7V3H5	Q7V3H5_PROMP	unreviewed	L-aspartate oxidase (EC 1.4.3.16)	nadB PMM0100	pmm:PMM0100;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	555	PATHWAY: Cofactor biosynthesis; NAD(+) biosynthesis; iminoaspartate from L-aspartate (oxidase route): step 1/1. {ECO:0000256|ARBA:ARBA00004950, ECO:0000256|RuleBase:RU362049}.	PMM0100	nadB		2 out of 5		Coiled coil (1); Domain (2)	GO:0005737; GO:0008734; GO:0009435; GO:0044318	NAD biosynthetic process [GO:0009435]	cytoplasm [GO:0005737]	L-aspartate:fumarate oxidoreductase activity [GO:0044318]; L-aspartate oxidase activity [GO:0008734]						WP_011131738.1;
Q7V2H7	Q7V2H7_PROMP	unreviewed	Uncharacterized protein	PMM0500	pmm:PMM0500;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	176		PMM0500			1 out of 5		Transmembrane (2)	GO:0016021		integral component of membrane [GO:0016021]							WP_011132135.1;
Q7V2G2	Q7V2G2_PROMP	unreviewed	Putative peptidoglycan synthetase (Pbp transpeptidase domain)	ftsI PMM0518	pmm:PMM0518;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	583		PMM0518	ftsI		1 out of 5		Domain (2)	GO:0008658; GO:0016020		membrane [GO:0016020]	penicillin binding [GO:0008658]						WP_011132153.1;
Q7V172	Q7V172_PROMP	unreviewed	Uncharacterized protein	PMM1011	pmm:PMM1011;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	81		PMM1011			1 out of 5		Chain (1); Signal peptide (1)					SIGNAL 1..24;  /evidence="ECO:0000256|SAM:SignalP"					WP_011132643.1;
Q7V197	Q7V197_PROMP	unreviewed	HNH endonuclease:HNH nuclease	PMM0982	pmm:PMM0982;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	113		PMM0982			1 out of 5		Domain (1)	GO:0004519			endonuclease activity [GO:0004519]						WP_011132615.1;
Q7V305	Q7V305_PROMP	unreviewed	Putative gluconeogenesis factor	PMM0291	pmm:PMM0291;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	440		PMM0291			2 out of 5		Transmembrane (2)	GO:0005737; GO:0008360; GO:0016021; GO:0043743	regulation of cell shape [GO:0008360]	cytoplasm [GO:0005737]; integral component of membrane [GO:0016021]	LPPG:FO 2-phospho-L-lactate transferase activity [GO:0043743]						
A8WIC1	A8WIC1_PROMP	unreviewed	Uncharacterized protein	PMM1902	pmm:PMM1902;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	62		PMM1902			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
A8WI67	A8WI67_PROMP	unreviewed	Uncharacterized protein	PMM1850	pmm:PMM1850;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	59		PMM1850			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							WP_036930903.1;
Q7V0I2	Q7V0I2_PROMP	unreviewed	DUF170	PMM1275	pmm:PMM1275;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	69		PMM1275			1 out of 5												WP_011132909.1;
Q7V0D2	Q7V0D2_PROMP	unreviewed	Lipid-A-disaccharide synthase (EC 2.4.1.182)	lpxB PMM1334	pmm:PMM1334;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	392	PATHWAY: Glycolipid biosynthesis; lipid IV(A) biosynthesis; lipid IV(A) from (3R)-3-hydroxytetradecanoyl-[acyl-carrier-protein] and UDP-N-acetyl-alpha-D-glucosamine: step 5/6. {ECO:0000256|ARBA:ARBA00004901}.	PMM1334	lpxB		2 out of 5			GO:0008915; GO:0009245	lipid A biosynthetic process [GO:0009245]		lipid-A-disaccharide synthase activity [GO:0008915]						WP_011132968.1;
A8WII6	A8WII6_PROMP	unreviewed	Uncharacterized protein	PMM1969	pmm:PMM1969;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	60		PMM1969			1 out of 5												WP_036930549.1;
Q7V2P5	Q7V2P5_PROMP	unreviewed	Peptidoglycan glycosyltransferase (EC 2.4.1.129)	PMM0427	pmm:PMM0427;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	587		PMM0427			2 out of 5		Domain (2); Transmembrane (1)	GO:0004180; GO:0008658; GO:0008955; GO:0016021		integral component of membrane [GO:0016021]	carboxypeptidase activity [GO:0004180]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]						WP_011132063.1;
Q7UZN9	Q7UZN9_PROMP	unreviewed	Two-component response regulator	PMM1619	pmm:PMM1619;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	248		PMM1619			1 out of 5		DNA binding (1); Domain (2); Modified residue (1)	GO:0000160; GO:0003677; GO:0006355	phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]		DNA binding [GO:0003677]						WP_011133246.1;
Q7V1J0	Q7V1J0_PROMP	unreviewed	Protoporphyrinogen IX oxidase (PPO) (EC 1.3.99.-)	PMM0881	pmm:PMM0881;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	199	PATHWAY: Porphyrin-containing compound metabolism; protoporphyrin-IX biosynthesis; protoporphyrin-IX from protoporphyrinogen-IX: step 1/1. {ECO:0000256|ARBA:ARBA00005073, ECO:0000256|HAMAP-Rule:MF_02239}.	PMM0881			3 out of 5		Metal binding (2); Transmembrane (5)	GO:0005887; GO:0006782; GO:0046872; GO:0070818	protoporphyrinogen IX biosynthetic process [GO:0006782]	integral component of plasma membrane [GO:0005887]	metal ion binding [GO:0046872]; protoporphyrinogen oxidase activity [GO:0070818]						
Q7V072	Q7V072_PROMP	unreviewed	Uncharacterized protein	PMM1408	pmm:PMM1408;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	75		PMM1408			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							WP_011133037.1;
Q7V0M3	Q7V0M3_PROMP	unreviewed	dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	rfbD PMM1233	pmm:PMM1233;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	279	PATHWAY: Carbohydrate biosynthesis; dTDP-L-rhamnose biosynthesis. {ECO:0000256|RuleBase:RU364082}.	PMM1233	rfbD		2 out of 5		Domain (1)	GO:0008831; GO:0019305	dTDP-rhamnose biosynthetic process [GO:0019305]		dTDP-4-dehydrorhamnose reductase activity [GO:0008831]						WP_011132867.1;
A8WIJ9	A8WIJ9_PROMP	unreviewed	Uncharacterized protein	PMM1982	pmm:PMM1982;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	59		PMM1982			1 out of 5		Transmembrane (1)	GO:0016021		integral component of membrane [GO:0016021]							
Q7V0N4	Q7V0N4_PROMP	unreviewed	Possible glycosyl transferase	PMM1222	pmm:PMM1222;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	327		PMM1222			1 out of 5		Domain (1)	GO:0016740			transferase activity [GO:0016740]						WP_011132856.1;
Q7V0P4	Q7V0P4_PROMP	unreviewed	Uncharacterized protein	PMM1212	pmm:PMM1212;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	230		PMM1212			1 out of 5												WP_011132846.1;
Q7V0H4	Q7V0H4_PROMP	unreviewed	Uncharacterized protein	PMM1283	pmm:PMM1283;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	245		PMM1283			1 out of 5		Transmembrane (7)	GO:0016021		integral component of membrane [GO:0016021]							WP_011132917.1;
Q7V280	Q7V280_PROMP	unreviewed	Uncharacterized protein	PMM0604	pmm:PMM0604;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	388		PMM0604			1 out of 5												WP_011132238.1;
Q7TUH5	Q7TUH5_PROMP	unreviewed	Putative Rubisco transcriptional regulator	rbcR PMM0147	pmm:PMM0147;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	317		PMM0147	rbcR		1 out of 5		Domain (1)	GO:0003700			DNA-binding transcription factor activity [GO:0003700]						WP_011131786.1;
Q7V2M2	Q7V2M2_PROMP	unreviewed	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100)	fabG PMM0453	pmm:PMM0453;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	249	PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000256|RuleBase:RU366074}.	PMM0453	fabG		2 out of 5			GO:0004316; GO:0006633; GO:0051287	fatty acid biosynthetic process [GO:0006633]		3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; NAD binding [GO:0051287]						WP_011132089.1;
Q7V1T6	Q7V1T6_PROMP	unreviewed	ADP-glucose pyrophosphorylase (EC 2.7.7.27)	glgC PMM0769	pmm:PMM0769;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	431	PATHWAY: Glycan biosynthesis; glycogen biosynthesis. {ECO:0000256|RuleBase:RU003742}.	PMM0769	glgC		2 out of 5		Domain (1)	GO:0005524; GO:0005978; GO:0008878; GO:0031470; GO:0043886	glycogen biosynthetic process [GO:0005978]	carboxysome [GO:0031470]	ATP binding [GO:0005524]; glucose-1-phosphate adenylyltransferase activity [GO:0008878]; structural constituent of carboxysome [GO:0043886]						WP_011132403.1;
Q7V0E3	Q7V0E3_PROMP	unreviewed	Putative GPH family sugar transporter	PMM1323	pmm:PMM1323;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	449		PMM1323			1 out of 5		Transmembrane (11)	GO:0008643; GO:0015293; GO:0016021	carbohydrate transport [GO:0008643]	integral component of membrane [GO:0016021]	symporter activity [GO:0015293]						WP_011132957.1;
Q7UZF7	Q7UZF7_PROMP	unreviewed	Conserved hypothetical	PMM1710	pmm:PMM1710;	Prochlorococcus marinus subsp. pastoris (strain CCMP1986 / NIES-2087 / MED4)	87		PMM1710			1 out of 5												WP_011133337.1;
