"locus_tag","type","gene","gene_biotype","old_locus_tag","product","protein_id"
"ACZ81_RS14535","gene",NA,"protein_coding","ACZ81_14530","M28 family metallopeptidase","WP_061486378.1"
"ACZ81_RS14540","gene",NA,"protein_coding","ACZ81_14535","FAD-dependent monooxygenase","WP_061486379.1"
"ACZ81_RS14545","gene",NA,"protein_coding","ACZ81_14540","FAD-dependent monooxygenase","WP_061486380.1"
"ACZ81_RS14550","gene","pepP","protein_coding","ACZ81_14545","Xaa-Pro aminopeptidase","WP_061486381.1"
"ACZ81_RS14555","gene",NA,"protein_coding","ACZ81_14550","UPF0149 family protein","WP_039228193.1"
"ACZ81_RS14560","gene","ssrS","ncRNA",NA,"6S RNA",NA
"ACZ81_RS14565","gene",NA,"protein_coding","ACZ81_14560","ribokinase","WP_014950380.1"
"ACZ81_RS14570","gene",NA,"protein_coding","ACZ81_14565","nucleoside hydrolase","WP_061486382.1"
"ACZ81_RS21540","pseudogene",NA,"pseudogene",NA,"GAF domain-containing protein",NA
"ACZ81_RS14575","gene",NA,"protein_coding","ACZ81_14570","ATP-binding protein","WP_232376023.1"
"ACZ81_RS14585","gene",NA,"protein_coding","ACZ81_14580","5-formyltetrahydrofolate cyclo-ligase","WP_232375952.1"
"ACZ81_RS14590","gene","rpiA","protein_coding","ACZ81_14585","ribose-5-phosphate isomerase RpiA","WP_014950385.1"
"ACZ81_RS14595","gene","serA","protein_coding","ACZ81_14590","phosphoglycerate dehydrogenase","WP_014980012.1"
"ACZ81_RS14600","gene",NA,"protein_coding","ACZ81_14595","DUF481 domain-containing protein","WP_014950387.1"
"ACZ81_RS14605","gene",NA,"protein_coding","ACZ81_14600","DUF481 domain-containing protein","WP_061486386.1"
"ACZ81_RS14610","gene",NA,"protein_coding","ACZ81_14605","IS110 family transposase","WP_061439262.1"
"ACZ81_RS14615","gene",NA,"protein_coding","ACZ81_14610","HDOD domain-containing protein","WP_061486387.1"
"ACZ81_RS14620","gene",NA,"protein_coding","ACZ81_14615","DUF1289 domain-containing protein","WP_039228189.1"
"ACZ81_RS14625","gene",NA,"protein_coding","ACZ81_14620","SIMPL domain-containing protein","WP_061486388.1"
"ACZ81_RS14630","gene",NA,"protein_coding","ACZ81_14625","multidrug efflux RND transporter permease subunit","WP_014977213.1"
"ACZ81_RS14635","gene",NA,"protein_coding","ACZ81_14630","efflux RND transporter periplasmic adaptor subunit","WP_061486389.1"
"ACZ81_RS14640","gene",NA,"protein_coding","ACZ81_14635","LysR family transcriptional regulator","WP_061486390.1"
"ACZ81_RS14645","gene","lpdA","protein_coding","ACZ81_14640","dihydrolipoyl dehydrogenase","WP_014950394.1"
"ACZ81_RS14650","gene","aceF","protein_coding","ACZ81_14645","pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase","WP_061486391.1"
"ACZ81_RS14655","gene","aceE","protein_coding","ACZ81_14650","pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type","WP_061486392.1"
"ACZ81_RS14660","gene","pdhR","protein_coding","ACZ81_14655","pyruvate dehydrogenase complex transcriptional repressor PdhR","WP_014950397.1"
"ACZ81_RS14665","gene","ampE","protein_coding","ACZ81_14660","beta-lactamase regulator AmpE","WP_061486393.1"
"ACZ81_RS14670","gene","ampD","protein_coding","ACZ81_14665","1%2C6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD","WP_061486394.1"
"ACZ81_RS14675","gene",NA,"protein_coding","ACZ81_14670","TIGR02281 family clan AA aspartic protease","WP_061486395.1"
"ACZ81_RS14680","gene","nadC","protein_coding","ACZ81_14675","carboxylating nicotinate-nucleotide diphosphorylase","WP_061486396.1"
"ACZ81_RS14685","gene",NA,"protein_coding","ACZ81_14680","prepilin-type N-terminal cleavage/methylation domain-containing protein","WP_158511560.1"
"ACZ81_RS14690","gene",NA,"protein_coding","ACZ81_14685","type II secretion system F family protein","WP_061486998.1"
"ACZ81_RS14695","gene",NA,"protein_coding","ACZ81_14690","A24 family peptidase","WP_061486398.1"
"ACZ81_RS14700","gene","coaE","protein_coding","ACZ81_14695","dephospho-CoA kinase","WP_061486399.1"
"ACZ81_RS14705","gene","zapD","protein_coding","ACZ81_14700","cell division protein ZapD","WP_039227984.1"
"ACZ81_RS14710","gene","yacG","protein_coding","ACZ81_14705","DNA gyrase inhibitor YacG","WP_061486400.1"
"ACZ81_RS14715","gene",NA,"protein_coding","ACZ81_14710","aspartoacylase","WP_061486401.1"
"ACZ81_RS14720","gene","mutT","protein_coding","ACZ81_14715","8-oxo-dGTP diphosphatase MutT","WP_061486402.1"
"ACZ81_RS14725","gene","secA","protein_coding","ACZ81_14720","preprotein translocase subunit SecA","WP_014980040.1"
"ACZ81_RS14730","gene",NA,"protein_coding","ACZ81_14725","M23 family metallopeptidase","WP_014950422.1"
"ACZ81_RS14735","gene","lpxC","protein_coding","ACZ81_14730","UDP-3-O-acyl-N-acetylglucosamine deacetylase","WP_014980041.1"
"ACZ81_RS14740","gene","ftsZ","protein_coding","ACZ81_14735","cell division protein FtsZ","WP_014980042.1"
"ACZ81_RS14745","gene","ftsA","protein_coding","ACZ81_14740","cell division protein FtsA","WP_014980043.1"
"ACZ81_RS14750","gene",NA,"protein_coding","ACZ81_14745","cell division protein FtsQ/DivIB","WP_014977223.1"
"ACZ81_RS14755","gene",NA,"protein_coding","ACZ81_14750","D-alanine--D-alanine ligase","WP_014950427.1"
"ACZ81_RS14760","gene","murC","protein_coding","ACZ81_14755","UDP-N-acetylmuramate--L-alanine ligase","WP_014950428.1"
"ACZ81_RS14765","gene","murG","protein_coding","ACZ81_14760","undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase","WP_061486403.1"
"ACZ81_RS14770","gene","ftsW","protein_coding","ACZ81_14765","cell division protein FtsW","WP_049586055.1"
"ACZ81_RS14775","gene","murD","protein_coding","ACZ81_14770","UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase","WP_061486404.1"
"ACZ81_RS14780","gene","mraY","protein_coding","ACZ81_14775","phospho-N-acetylmuramoyl-pentapeptide-transferase","WP_014950432.1"
"ACZ81_RS14785","gene","murF","protein_coding","ACZ81_14780","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","WP_061486405.1"
"ACZ81_RS14790","gene",NA,"protein_coding","ACZ81_14785","UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2%2C6-diaminopimelate ligase","WP_061486406.1"
"ACZ81_RS14795","gene",NA,"protein_coding","ACZ81_14790","cell division protein FtsI","WP_061486407.1"
"ACZ81_RS14800","gene","ftsL","protein_coding","ACZ81_14795","cell division protein FtsL","WP_014950436.1"
"ACZ81_RS14805","gene","rsmH","protein_coding","ACZ81_14800","16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH","WP_014950437.1"
"ACZ81_RS14810","gene","mraZ","protein_coding","ACZ81_14805","division/cell wall cluster transcriptional repressor MraZ","WP_012519465.1"
"ACZ81_RS14815","gene",NA,"protein_coding","ACZ81_14810","putative porin","WP_061486408.1"
"ACZ81_RS14820","gene",NA,"protein_coding","ACZ81_14815","SapC family protein","WP_061486409.1"
"ACZ81_RS14825","gene",NA,"protein_coding","ACZ81_14820","dipeptidase","WP_061486410.1"
"ACZ81_RS14830","gene",NA,"protein_coding","ACZ81_14825","efflux RND transporter permease subunit","WP_061486411.1"
"ACZ81_RS14835","gene",NA,"protein_coding","ACZ81_14830","efflux RND transporter periplasmic adaptor subunit","WP_061486412.1"
"ACZ81_RS14840","gene",NA,"protein_coding","ACZ81_14835","TolC family protein","WP_061486413.1"
"ACZ81_RS21545","gene",NA,"protein_coding",NA,"hypothetical protein","WP_231506555.1"
"ACZ81_RS14850","gene",NA,"protein_coding","ACZ81_14845","alpha/beta fold hydrolase","WP_203229272.1"
"ACZ81_RS14855","gene",NA,"protein_coding","ACZ81_14850","glutathione peroxidase","WP_014950446.1"
"ACZ81_RS14860","gene",NA,"protein_coding","ACZ81_14855","AAA family ATPase","WP_014950447.1"
"ACZ81_RS14865","gene",NA,"protein_coding","ACZ81_14860","hypothetical protein","WP_014950448.1"
"ACZ81_RS14870","gene",NA,"protein_coding","ACZ81_14865","diguanylate cyclase","WP_061486415.1"
"ACZ81_RS14875","gene",NA,"protein_coding","ACZ81_14870","hypothetical protein","WP_039227925.1"
"ACZ81_RS14880","gene","prsR","protein_coding","ACZ81_14875","PEP-CTERM-box response regulator transcription factor","WP_014950451.1"
"ACZ81_RS14885","gene","prsK","protein_coding","ACZ81_14880","PEP-CTERM system histidine kinase PrsK","WP_061486416.1"
"ACZ81_RS14890","gene",NA,"protein_coding","ACZ81_14885","beta-ketoacyl-ACP synthase III","WP_061486417.1"
"ACZ81_RS14895","gene",NA,"protein_coding","ACZ81_14890","collagen-like protein","WP_061486418.1"
"ACZ81_RS14900","gene",NA,"protein_coding","ACZ81_14895","M48 family metallopeptidase","WP_061486419.1"
"ACZ81_RS14905","gene",NA,"protein_coding","ACZ81_14900","mechanosensitive ion channel","WP_014950457.1"
"ACZ81_RS14910","gene",NA,"protein_coding","ACZ81_14905","16S rRNA (uracil(1498)-N(3))-methyltransferase","WP_014950458.1"
"ACZ81_RS14915","gene","gshB","protein_coding","ACZ81_14910","glutathione synthase","WP_014950459.1"
"ACZ81_RS14920","gene",NA,"protein_coding","ACZ81_14915","YqgE/AlgH family protein","WP_014950460.1"
"ACZ81_RS14925","gene","ruvX","protein_coding","ACZ81_14920","Holliday junction resolvase RuvX","WP_014950461.1"
"ACZ81_RS14930","gene",NA,"protein_coding","ACZ81_14925","DUF2007 domain-containing protein","WP_014950462.1"
"ACZ81_RS14935","gene",NA,"protein_coding","ACZ81_14930","PilT/PilU family type 4a pilus ATPase","WP_014977241.1"
"ACZ81_RS14940","gene",NA,"protein_coding","ACZ81_14935","type IV pilus twitching motility protein PilT","WP_014950464.1"
"ACZ81_RS14945","gene",NA,"protein_coding","ACZ81_14940","YggS family pyridoxal phosphate-dependent enzyme","WP_061486420.1"
"ACZ81_RS14950","gene","proC","protein_coding","ACZ81_14945","pyrroline-5-carboxylate reductase","WP_061486421.1"
"ACZ81_RS14955","gene",NA,"protein_coding","ACZ81_14950","YggT family protein","WP_014950467.1"
"ACZ81_RS14960","gene",NA,"protein_coding","ACZ81_14955","DUF4426 domain-containing protein","WP_039227913.1"
"ACZ81_RS14965","gene",NA,"protein_coding","ACZ81_14960","NADPH-dependent 2%2C4-dienoyl-CoA reductase","WP_061486422.1"
"ACZ81_RS14970","gene",NA,"protein_coding","ACZ81_14965","VOC family protein","WP_014950470.1"
"ACZ81_RS14975","gene",NA,"protein_coding","ACZ81_14970","DUF885 domain-containing protein","WP_061486423.1"
"ACZ81_RS14980","gene",NA,"protein_coding","ACZ81_14975","glutathione S-transferase family protein","WP_061486424.1"
"ACZ81_RS14985","gene",NA,"protein_coding","ACZ81_14980","superoxide dismutase family protein","WP_049586032.1"
"ACZ81_RS14990","gene",NA,"protein_coding","ACZ81_14985","OsmC family protein","WP_061486425.1"
"ACZ81_RS14995","gene","msrA","protein_coding","ACZ81_14990","peptide-methionine (S)-S-oxide reductase MsrA","WP_061486426.1"
"ACZ81_RS15000","gene",NA,"protein_coding","ACZ81_14995","AzlD domain-containing protein","WP_014950476.1"
"ACZ81_RS15005","gene",NA,"protein_coding","ACZ81_15000","AzlC family ABC transporter permease","WP_061486427.1"
"ACZ81_RS15010","gene",NA,"protein_coding","ACZ81_15005","helix-turn-helix transcriptional regulator","WP_080589203.1"
"ACZ81_RS15020","gene",NA,"protein_coding","ACZ81_15015","MFS transporter","WP_039232054.1"
"ACZ81_RS15025","gene",NA,"protein_coding","ACZ81_15020","RNA-binding protein","WP_049586027.1"
"ACZ81_RS15030","gene","yaaA","protein_coding","ACZ81_15025","peroxide stress protein YaaA","WP_049586026.1"
"ACZ81_RS21145","gene",NA,"protein_coding",NA,"hypothetical protein","WP_139308981.1"
"ACZ81_RS15040","gene","tal","protein_coding","ACZ81_15035","transaldolase","WP_061486430.1"
"ACZ81_RS15045","gene","pgi","protein_coding","ACZ81_15040","glucose-6-phosphate isomerase","WP_061486431.1"
"ACZ81_RS20915","gene",NA,"protein_coding",NA,"DUF3545 family protein","WP_012519516.1"
"ACZ81_RS15050","gene","ung","protein_coding","ACZ81_15045","uracil-DNA glycosylase","WP_061486432.1"
"ACZ81_RS15055","gene","thrC","protein_coding","ACZ81_15050","threonine synthase","WP_061486433.1"
"ACZ81_RS15060","gene","thrB","protein_coding","ACZ81_15055","homoserine kinase","WP_014950486.1"
"ACZ81_RS15065","gene","thrA","protein_coding","ACZ81_15060","bifunctional aspartate kinase/homoserine dehydrogenase I","WP_061486434.1"
"ACZ81_RS15070","gene",NA,"protein_coding","ACZ81_15065","LysR substrate-binding domain-containing protein","WP_061486435.1"
"ACZ81_RS15075","gene",NA,"protein_coding","ACZ81_15070","S-(hydroxymethyl)glutathione dehydrogenase/class III alcohol dehydrogenase","WP_014950490.1"
"ACZ81_RS15080","gene",NA,"protein_coding","ACZ81_15075","response regulator transcription factor","WP_061486436.1"
"ACZ81_RS15085","gene",NA,"protein_coding","ACZ81_15080","histidine kinase","WP_061486437.1"
"ACZ81_RS15090","gene",NA,"protein_coding","ACZ81_15085","hypothetical protein","WP_061486438.1"
"ACZ81_RS15095","gene",NA,"protein_coding","ACZ81_15090","hypothetical protein","WP_061486439.1"
"ACZ81_RS15100","gene",NA,"protein_coding","ACZ81_15095","metalloregulator ArsR/SmtB family transcription factor","WP_039232026.1"
"ACZ81_RS15105","gene",NA,"protein_coding","ACZ81_15100","arsenate reductase ArsC","WP_014980113.1"
"ACZ81_RS15110","gene","arsH","protein_coding","ACZ81_15105","arsenical resistance protein ArsH","WP_061486999.1"
"ACZ81_RS15115","gene","arsB","protein_coding","ACZ81_15110","ACR3 family arsenite efflux transporter","WP_061486440.1"
"ACZ81_RS15120","gene",NA,"protein_coding","ACZ81_15115","response regulator","WP_014950500.1"
"ACZ81_RS15125","gene","aceK","protein_coding","ACZ81_15120","bifunctional isocitrate dehydrogenase kinase/phosphatase","WP_014950501.1"
"ACZ81_RS15130","gene",NA,"protein_coding","ACZ81_15125","response regulator transcription factor","WP_014950502.1"
"ACZ81_RS15135","gene",NA,"protein_coding","ACZ81_15130","HAMP domain-containing histidine kinase","WP_061486441.1"
"ACZ81_RS15140","gene",NA,"protein_coding","ACZ81_15135","RpiB/LacA/LacB family sugar-phosphate isomerase","WP_039226261.1"
"ACZ81_RS15145","gene",NA,"protein_coding","ACZ81_15140","DUF3833 domain-containing protein","WP_014950505.1"
"ACZ81_RS15150","gene",NA,"protein_coding","ACZ81_15145","chalcone isomerase family protein","WP_061486442.1"
"ACZ81_RS15155","gene",NA,"protein_coding","ACZ81_15150","pyridoxal-phosphate dependent enzyme","WP_061486443.1"
"ACZ81_RS15160","gene",NA,"protein_coding","ACZ81_15155","DUF4282 domain-containing protein","WP_014950508.1"
"ACZ81_RS15165","gene","add","protein_coding","ACZ81_15160","adenosine deaminase","WP_061486444.1"
"ACZ81_RS15170","gene",NA,"protein_coding","ACZ81_15165","sterol desaturase family protein","WP_061486445.1"
"ACZ81_RS15175","gene",NA,"protein_coding","ACZ81_15170","SRPBCC family protein","WP_061486446.1"
"ACZ81_RS15180","gene",NA,"protein_coding","ACZ81_15175","AraC family transcriptional regulator","WP_231506556.1"
"ACZ81_RS15185","gene",NA,"protein_coding","ACZ81_15180","IS110 family transposase","WP_061484806.1"
"ACZ81_RS15190","gene",NA,"protein_coding","ACZ81_15185","hypothetical protein","WP_061486448.1"
"ACZ81_RS15195","gene",NA,"protein_coding","ACZ81_15190","saccharopine dehydrogenase family protein","WP_014950514.1"
"ACZ81_RS15200","gene","nspC","protein_coding","ACZ81_15195","carboxynorspermidine decarboxylase","WP_061487000.1"
"ACZ81_RS15205","gene",NA,"protein_coding","ACZ81_15200","glycosyltransferase family 2 protein","WP_061486449.1"
"ACZ81_RS15210","gene",NA,"protein_coding","ACZ81_15205","hypothetical protein","WP_061486450.1"
"ACZ81_RS15215","gene","rsmI","protein_coding","ACZ81_15210","16S rRNA (cytidine(1402)-2'-O)-methyltransferase","WP_014980129.1"
"ACZ81_RS15220","gene",NA,"protein_coding","ACZ81_15215","penicillin-binding protein activator","WP_061486451.1"
"ACZ81_RS15225","gene",NA,"protein_coding","ACZ81_15220","YraN family protein","WP_061486452.1"
"ACZ81_RS15230","gene",NA,"protein_coding","ACZ81_15225","glycosyltransferase family 4 protein","WP_039226230.1"
"ACZ81_RS15235","gene",NA,"protein_coding","ACZ81_15230","phosphoheptose isomerase","WP_014950522.1"
"ACZ81_RS15240","gene",NA,"protein_coding","ACZ81_15235","BON domain-containing protein","WP_014950523.1"
"ACZ81_RS15245","gene",NA,"protein_coding","ACZ81_15240","MFS transporter","WP_061486453.1"
"ACZ81_RS15250","gene",NA,"protein_coding","ACZ81_15245","hypothetical protein","WP_014950525.1"
"ACZ81_RS15255","gene",NA,"protein_coding","ACZ81_15250","SMR family transporter","WP_061486454.1"
"ACZ81_RS15260","gene",NA,"protein_coding","ACZ81_15255","histidine kinase","WP_061486455.1"
"ACZ81_RS15265","gene",NA,"protein_coding","ACZ81_15260","response regulator transcription factor","WP_049589067.1"
"ACZ81_RS15270","gene",NA,"protein_coding","ACZ81_15265","hypothetical protein","WP_061486456.1"
"ACZ81_RS15275","gene",NA,"protein_coding","ACZ81_15270","hypothetical protein","WP_061486457.1"
"ACZ81_RS15280","gene",NA,"protein_coding","ACZ81_15275","TonB-dependent receptor","WP_039218887.1"
"ACZ81_RS15285","gene",NA,"protein_coding","ACZ81_15280","GntR family transcriptional regulator","WP_061486458.1"
"ACZ81_RS15290","gene","prpB","protein_coding","ACZ81_15285","methylisocitrate lyase","WP_039218892.1"
"ACZ81_RS15295","gene","prpC","protein_coding","ACZ81_15290","2-methylcitrate synthase","WP_061486459.1"
"ACZ81_RS15300","gene","acnD","protein_coding","ACZ81_15295","Fe/S-dependent 2-methylisocitrate dehydratase AcnD","WP_061486460.1"
"ACZ81_RS15305","gene","prpF","protein_coding","ACZ81_15300","2-methylaconitate cis-trans isomerase PrpF","WP_061486461.1"
"ACZ81_RS15310","gene",NA,"protein_coding","ACZ81_15305","diguanylate cyclase","WP_014950537.1"
"ACZ81_RS15315","gene",NA,"protein_coding","ACZ81_15310","sodium/solute symporter","WP_061486462.1"
"ACZ81_RS15320","gene",NA,"protein_coding","ACZ81_15315","PH domain-containing protein","WP_061486463.1"
"ACZ81_RS15325","gene",NA,"protein_coding","ACZ81_15320","PH domain-containing protein","WP_061486464.1"
"ACZ81_RS15330","gene","arcB","protein_coding","ACZ81_15325","aerobic respiration two-component sensor histidine kinase ArcB","WP_014950541.1"
"ACZ81_RS15335","gene",NA,"protein_coding","ACZ81_15330","N-acetylmuramoyl-L-alanine amidase","WP_014950542.1"
"ACZ81_RS15340","gene","gltB","protein_coding","ACZ81_15335","glutamate synthase large subunit","WP_014950543.1"
"ACZ81_RS15345","gene",NA,"protein_coding","ACZ81_15340","FAD-dependent oxidoreductase","WP_014977264.1"
"ACZ81_RS15350","gene",NA,"protein_coding","ACZ81_15345","M20/M25/M40 family metallo-hydrolase","WP_061486465.1"
"ACZ81_RS15355","gene",NA,"protein_coding","ACZ81_15350","hypothetical protein","WP_014977266.1"
"ACZ81_RS15360","gene",NA,"protein_coding","ACZ81_15355","DUF2726 domain-containing protein","WP_014950547.1"
"ACZ81_RS15365","gene",NA,"protein_coding","ACZ81_15360","5'-methylthioadenosine/adenosylhomocysteine nucleosidase","WP_014950548.1"
"ACZ81_RS15370","gene",NA,"protein_coding","ACZ81_15365","cobalamin biosynthesis protein","WP_061486466.1"
"ACZ81_RS15375","gene",NA,"protein_coding","ACZ81_15370","cobalamin-binding protein","WP_170826515.1"
"ACZ81_RS15380","gene",NA,"protein_coding","ACZ81_15375","rhodanese-like domain-containing protein","WP_014950551.1"
"ACZ81_RS15385","gene",NA,"protein_coding","ACZ81_15380","DUF2721 domain-containing protein","WP_061486467.1"
"ACZ81_RS15390","gene",NA,"protein_coding","ACZ81_15385","GNAT family N-acetyltransferase","WP_014950553.1"
"ACZ81_RS15395","gene",NA,"protein_coding","ACZ81_15390","FAD-binding oxidoreductase","WP_061486468.1"
"ACZ81_RS15400","gene",NA,"protein_coding","ACZ81_15395","DUF1428 domain-containing protein","WP_014980153.1"
"ACZ81_RS15405","gene","tyrS","protein_coding","ACZ81_15400","tyrosine--tRNA ligase","WP_014950559.1"
"ACZ81_RS15410","gene",NA,"protein_coding","ACZ81_15405","peptidoglycan DD-metalloendopeptidase family protein","WP_061486469.1"
"ACZ81_RS15415","gene",NA,"protein_coding","ACZ81_15410","anhydro-N-acetylmuramic acid kinase","WP_061486470.1"
"ACZ81_RS15420","gene",NA,"protein_coding","ACZ81_15415","sodium:proton antiporter","WP_061486471.1"
"ACZ81_RS15425","gene","fucP","protein_coding","ACZ81_15420","L-fucose:H+ symporter permease","WP_061486472.1"
"ACZ81_RS15430","gene",NA,"protein_coding","ACZ81_15425","carbohydrate porin","WP_014977269.1"
"ACZ81_RS15435","gene",NA,"protein_coding","ACZ81_15430","alkene reductase","WP_061486473.1"
"ACZ81_RS15440","gene",NA,"protein_coding","ACZ81_15435","SRPBCC domain-containing protein","WP_014950566.1"
"ACZ81_RS15445","gene",NA,"protein_coding","ACZ81_15440","PLP-dependent transferase","WP_061486474.1"
"ACZ81_RS15450","gene",NA,"protein_coding","ACZ81_15445","D-2-hydroxyacid dehydrogenase","WP_061486475.1"
"ACZ81_RS15455","gene",NA,"protein_coding","ACZ81_15450","glutathione S-transferase family protein","WP_061486476.1"
"ACZ81_RS15460","gene","erpA","protein_coding","ACZ81_15455","iron-sulfur cluster insertion protein ErpA","WP_014950570.1"
"ACZ81_RS15465","gene",NA,"protein_coding","ACZ81_15460","polyphosphate kinase","WP_061486477.1"
"ACZ81_RS15470","gene","minE","protein_coding","ACZ81_15465","cell division topological specificity factor MinE","WP_014950572.1"
"ACZ81_RS15475","gene","minD","protein_coding","ACZ81_15470","septum site-determining protein MinD","WP_061486478.1"
"ACZ81_RS15480","gene","minC","protein_coding","ACZ81_15475","septum site-determining protein MinC","WP_061486479.1"
"ACZ81_RS15485","gene",NA,"protein_coding","ACZ81_15480","class II fumarate hydratase","WP_014977274.1"
"ACZ81_RS15490","gene",NA,"protein_coding","ACZ81_15485","hypothetical protein","WP_061486480.1"
"ACZ81_RS15495","gene","azu","protein_coding","ACZ81_15490","azurin","WP_014950577.1"
"ACZ81_RS15500","gene",NA,"protein_coding","ACZ81_15495","arsenic efflux protein","WP_061486481.1"
"ACZ81_RS15505","gene",NA,"protein_coding","ACZ81_15500","hypothetical protein","WP_061487001.1"
"ACZ81_RS15510","gene",NA,"protein_coding","ACZ81_15505","chloride channel protein","WP_039235311.1"
"ACZ81_RS15515","gene",NA,"protein_coding","ACZ81_15510","CopD family protein","WP_014950581.1"
"ACZ81_RS15520","gene",NA,"protein_coding","ACZ81_15515","hypothetical protein","WP_014950582.1"
"ACZ81_RS15525","gene",NA,"protein_coding","ACZ81_15520","UPF0149 family protein","WP_014977279.1"
"ACZ81_RS15530","gene",NA,"protein_coding","ACZ81_15525","Nramp family divalent metal transporter","WP_061486482.1"
"ACZ81_RS15535","gene",NA,"protein_coding","ACZ81_15530","PatB family C-S lyase","WP_014950585.1"
"ACZ81_RS15540","gene",NA,"protein_coding","ACZ81_15535","response regulator","WP_014950586.1"
"ACZ81_RS15545","gene","typA","protein_coding","ACZ81_15540","translational GTPase TypA","WP_014950587.1"
"ACZ81_RS15550","gene","glnA","protein_coding","ACZ81_15545","glutamate--ammonia ligase","WP_014950588.1"
"ACZ81_RS15555","gene",NA,"protein_coding","ACZ81_15550","DUF4124 domain-containing protein","WP_232376024.1"
"ACZ81_RS15560","gene","glnL","protein_coding","ACZ81_15555","nitrogen regulation protein NR(II)","WP_014950590.1"
"ACZ81_RS15565","gene","glnG","protein_coding","ACZ81_15560","nitrogen regulation protein NR(I)","WP_014977284.1"
"ACZ81_RS15570","gene",NA,"protein_coding","ACZ81_15565","HD domain-containing protein","WP_014977285.1"
"ACZ81_RS15575","gene",NA,"protein_coding","ACZ81_15570","1-acylglycerol-3-phosphate O-acyltransferase","WP_061486484.1"
"ACZ81_RS15580","gene","rraB","protein_coding","ACZ81_15575","ribonuclease E inhibitor RraB","WP_014950594.1"
"ACZ81_RS15585","gene",NA,"protein_coding","ACZ81_15580","choice-of-anchor H family protein","WP_061486485.1"
"ACZ81_RS21550","gene",NA,"protein_coding",NA,"PAS domain-containing protein","WP_232375953.1"
"ACZ81_RS15590","pseudogene",NA,"pseudogene","ACZ81_15585","diguanylate cyclase",NA
"ACZ81_RS15595","gene",NA,"protein_coding","ACZ81_15590","hypothetical protein","WP_014950597.1"
"ACZ81_RS15600","gene",NA,"protein_coding","ACZ81_15595","SPFH domain-containing protein","WP_014950598.1"
"ACZ81_RS15605","gene",NA,"protein_coding","ACZ81_15600","extracellular solute-binding protein","WP_061487002.1"
"ACZ81_RS15610","gene",NA,"protein_coding","ACZ81_15605","ATP-binding protein","WP_061486486.1"
"ACZ81_RS15615","gene",NA,"protein_coding","ACZ81_15610","valine--tRNA ligase","WP_061486487.1"
"ACZ81_RS15620","gene",NA,"protein_coding","ACZ81_15615","DNA polymerase III subunit chi","WP_061486488.1"
"ACZ81_RS15625","gene","pepA","protein_coding","ACZ81_15620","leucyl aminopeptidase","WP_014950602.1"
"ACZ81_RS15630","gene","lptF","protein_coding","ACZ81_15625","LPS export ABC transporter permease LptF","WP_049588260.1"
"ACZ81_RS15635","gene","lptG","protein_coding","ACZ81_15630","LPS export ABC transporter permease LptG","WP_014977294.1"
"ACZ81_RS15640","gene",NA,"protein_coding","ACZ81_15635","RDD family protein","WP_081106109.1"
"ACZ81_RS15645","gene",NA,"protein_coding","ACZ81_15640","TonB-dependent receptor","WP_232375954.1"
"ACZ81_RS15650","gene",NA,"protein_coding","ACZ81_15645","sigma-70 family RNA polymerase sigma factor","WP_014977297.1"
"ACZ81_RS15655","gene",NA,"protein_coding","ACZ81_15650","anti-sigma factor","WP_061486490.1"
"ACZ81_RS15660","gene",NA,"protein_coding","ACZ81_15655","DUF4331 domain-containing protein","WP_061486491.1"
"ACZ81_RS15665","gene",NA,"protein_coding","ACZ81_15660","Ig-like domain-containing protein","WP_061486492.1"
"ACZ81_RS15670","gene",NA,"protein_coding","ACZ81_15665","hypothetical protein","WP_081106110.1"
"ACZ81_RS15675","gene",NA,"protein_coding","ACZ81_15670","HupE/UreJ family protein","WP_061486494.1"
"ACZ81_RS15680","gene",NA,"tRNA","ACZ81_15675","tRNA-Leu",NA
"ACZ81_RS15685","gene",NA,"protein_coding",NA,"GGDEF domain-containing protein","WP_061486495.1"
"ACZ81_RS15690","gene",NA,"protein_coding","ACZ81_15685","hypothetical protein","WP_061486496.1"
"ACZ81_RS15695","gene",NA,"protein_coding",NA,"hypothetical protein","WP_061486497.1"
"ACZ81_RS15700","gene",NA,"protein_coding","ACZ81_15695","site-specific integrase","WP_061486498.1"
"ACZ81_RS15705","gene",NA,"protein_coding","ACZ81_15700","permease","WP_061095220.1"
"ACZ81_RS15710","gene",NA,"protein_coding","ACZ81_15705","cation transporter","WP_015067954.1"
"ACZ81_RS15715","gene",NA,"protein_coding","ACZ81_15710","NAD(P)H-dependent oxidoreductase","WP_061486499.1"
"ACZ81_RS15720","gene",NA,"protein_coding","ACZ81_15715","redoxin domain-containing protein","WP_061486500.1"
"ACZ81_RS15725","gene",NA,"protein_coding","ACZ81_15720","hypothetical protein","WP_014950617.1"
"ACZ81_RS15730","gene",NA,"protein_coding","ACZ81_15725","DUF4105 domain-containing protein","WP_232375955.1"
